0.000,15.500,6.750,0.000,0.000,0.000,0.000
0.500,14.959,6.438,-0.433,-0.250,-0.866,-0.500
1.000,14.201,6.250,-0.866,-0.250,-0.866,0.500
1.500,13.227,6.188,-1.299,-0.250,-0.866,-0.500
2.000,12.036,5.750,-1.732,-0.500,-0.866,-0.500
2.500,10.845,5.062,-1.949,-0.875,0.000,-1.000
3.000,10.087,4.125,-1.732,-1.250,0.866,-0.500
3.500,9.330,3.437,-1.732,-1.250,-0.866,0.500
4.000,8.139,3.250,-1.949,-0.875,0.000,1.000
4.500,7.165,3.437,-1.949,-0.375,0.000,1.000
5.000,6.190,3.875,-1.949,0.125,0.000,1.000
5.500,5.216,4.562,-1.949,0.625,0.000,1.000
6.000,4.242,5.000,-1.949,0.625,0.000,-1.000
6.500,3.484,4.812,-1.732,0.250,0.866,-0.500
7.000,2.943,4.750,-1.516,0.125,0.000,0.000
7.500,2.401,4.687,-1.299,-0.000,0.866,-0.500
8.000,2.293,4.375,-0.866,-0.250,0.866,-0.500
8.500,2.185,3.812,-0.650,-0.625,0.000,-1.000
9.000,2.077,3.000,-0.433,-1.000,0.866,-0.500
9.500,2.185,2.562,-0.217,-0.875,0.000,1.000
10.000,2.077,2.750,-0.217,-0.375,0.000,1.000
